names,release_year,maturity_rating,duration,description,genre,mood,cast,subtitles,audio
Enola Holmes 2,2022,U/A 13+ ,2h 10m,"Enola takes on her first official case as a detective, but to solve the mystery of a missing girl, she'll need help from friends — and brother Sherlock.","['Mysteries', 'Family Features', 'US Movies', 'Period Pieces', 'Movies Based on Books', 'Action & Adventure', 'Dramas']","Witty,","['Millie Bobby Brown', 'Henry Cavill', 'David Thewlis', 'Louis Partridge', 'Helena Bonham Carter', 'Susan Wokoma', 'Adeel Akhtar', 'Sharon Duncan-Brewster']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi']"
An Action Hero,2022,U/A 16+ ,2h 8m,"A murder accusation turns a movie star's own life into an eccentric action thriller as he flees the country, with a vengeful politician hot on his heels.","['Hindi-Language Movies', 'Bollywood Movies', 'Action & Adventure', 'Comedies']","Offbeat,","['Ayushmann Khurrana', 'Jaideep Ahlawat', 'Neeraj Madhav', 'Harsh Chhaya', 'Gautum Joglekar', 'Vaquar Shaikh', 'Sumit Singh', 'Jitendra Hooda']","['English,', 'Hindi']",['Hindi [Original]']
Shutter Island,2010,U/A 16+ ,2h 18m,"While investigating a missing patient at a psychiatric facility, a US marshal gets caught in a web of deception and starts to question his reality.","['Mysteries', 'US Movies', 'Movies Based on Books', 'Crime Movies', 'Thriller Movies']","Mind-Bending,","['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Max von Sydow', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Jackie Earle Haley', 'Ted Levine', 'John Carroll Lynch', 'Elias Koteas']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
The Twilight Saga: Breaking Dawn: Part 2,2012,U/A 16+ ,1h 55m,"In the epic series' final chapter, Bella and Edward's newborn daughter forces the couple into a life-altering confrontation with the Volturi.","['US Movies', 'Teen Movies', 'Movies Based on Books', 'Dramas', 'Romantic Movies']","Ominous,","['Kristen Stewart', 'Robert Pattinson', 'Taylor Lautner', 'Peter Facinelli', 'Elizabeth Reaser', 'Ashley Greene', 'Jackson Rathbone', 'Kellan Lutz', 'Nikki Reed', 'Billy Burke']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original]']"
Bird Box,2018,A ,2h 4m,"Five years after an ominous unseen presence drives most of society to suicide, a survivor and her two children make a desperate bid to reach safety.","['Sci-Fi Movies', 'US Movies', 'Movies Based on Books', 'Dramas', 'Thriller Movies']","Chilling,","['Sandra Bullock', 'Trevante Rhodes', 'John Malkovich', 'Sarah Paulson', 'BD Wong', 'Jacki Weaver', 'Rosa Salazar', 'Danielle Macdonald', 'Lil Rel Howery', 'Tom Hollander']",['English'],"['English - Audio Description,', 'English [Original]']"
A Quiet Place,2018,U/A 16+ ,1h 31m,"Cut off from the rest of the world, a tight-knit family lives in constant fear of making any sound that will attract terrifying alien creatures.","['US Movies', 'Horror Movies']","Ominous,","['John Krasinski', 'Emily Blunt', 'Millie Simmonds', 'Noah Jupe', 'Cade Woodward', 'Leon Russom']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original],', 'Hindi']"
The Gray Man,2022,U/A 16+ ,2h 9m,"When a shadowy CIA agent uncovers damning agency secrets, he’s hunted across the globe by a sociopathic rogue operative who’s put a bounty on his head.","['US Movies', 'Movies Based on Books', 'Action & Adventure']",,"['Ryan Gosling', 'Chris Evans', 'Ana de Armas', 'Jessica Henwick', 'Regé-Jean Page', 'Wagner Moura', 'Julia Butters', 'Dhanush', 'Alfre Woodard', 'Billy Bob Thornton']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Kannada,', 'Tamil,', 'Telugu']"
Annabelle: Creation,2017,A ,1h 49m,"Years after their daughter's death, a dollmaker and his wife open their home to several orphans, who soon begin to fear one of his eerie creations.","['US Movies', 'Horror Movies']","Chilling,","['Stephanie Sigman', 'Talitha Eliana Bateman', 'Lulu Wilson', 'Anthony LaPaglia', 'Miranda Otto', 'Grace Fulton', 'Philippa Coulthard', 'Samara Lee', 'Tayler Buck']","['English,', 'Hindi']",['English [Original]']
The Conjuring 2,2016,U/A 16+ ,2h 13m,"After her daughter unwittingly releases a malevolent spirit in their house in London, a woman enlists the Warrens' help to confront the evil presence.","['US Movies', 'Horror Movies']","Chilling,","['Patrick Wilson', 'Vera Farmiga', 'Madison Wolfe', ""Frances O'Connor"", 'Lauren Esposito', 'Benjamin Haigh', 'Patrick McAuley', 'Simon McBurney', 'Maria Doyle Kennedy', 'Simon Delaney', 'Franka Potente']","['English,', 'Hindi']","['English - Audio Description,', 'English [Original]']"
The Good Nurse,2022,U/A 16+ ,2h 3m,An overburdened ICU nurse leans on her selfless new colleague at work and at home — until a patient's unexpected death casts him in a suspicious light.,"['Movies Based on Real Life', 'US Movies', 'Movies Based on Books', 'Crime Movies', 'Dramas', 'Thriller Movies']","Chilling,","['Jessica Chastain', 'Eddie Redmayne', 'Nnamdi Asomugha', 'Noah Emmerich', 'Kim Dickens', 'Malik Yoba', 'Alix West Lefler']",['English'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']"
